Sp  Age     0     1     2  Tot sp      0     1     2  T.Sit 0       0     1     2  T.Sit 1  Disp.Med.  Cant.Disp.
 0    0  2900  1600  5000    9500   1465   791  2534    4790     1435   809  2466    4710              0           0
 0    1  4759  1471  4645   10875   2445   708  2362    5515     2314   763  2283    5360             20        1176
 0    2  4021  1385  4320    9726   2172   666  2199    5037     1849   719  2121    4689             18        1842
 0    3  1694  3041  3975    8710    941  1688  2031    4660      753  1353  1944    4050              0           0
 0    4  4109  2775  3688   10572   2184  1540  1906    5630     1925  1235  1782    4942              0           0
 0    5  5140  2555  3432   11127   2733  1408  1772    5913     2407  1147  1660    5214             18        1717
 0    6  3286  3419  3191    9896   1744  1909  1655    5308     1542  1510  1536    4588             19        2017
 0    7  2816  2238  3890    8944   1598  1320  2026    4944     1218   918  1864    4000              0           0
 0    8  4643  2052  3612   10307   2590  1218  1880    5688     2053   834  1732    4619              0           0
 0    9  4244  3051  3343   10638   2221  1838  1742    5801     2023  1213  1601    4837             20        1813
 0   10  2854  3578  3092    9524   1499  2109  1616    5224     1355  1469  1476    4300             20        1797
 0   11  2375  2402  3781    8558   1368  1421  2057    4846     1007   981  1724    3712              0           0
 0   12  4551  2199  3503   10253   2489  1310  1893    5692     2062   889  1610    4561              0           0
 0   13  4383  3006  3262   10651   2333  1786  1759    5878     2050  1220  1503    4773             20        1884
 0   14  3057  2875  3596    9528   1666  1726  1974    5366     1391  1149  1622    4162             18        1837
 0   15  2590  2657  3319    8566   1527  1616  1830    4973     1063  1041  1489    3593              0           0
 0   16  4461  2427  3094    9982   2513  1485  1710    5708     1948   942  1384    4274              0           0
 0   17  4205  2760  3499   10464   2229  1678  1978    5885     1976  1082  1521    4579             18        1746
 0   18  2939  2826  3602    9367   1563  1728  2047    5338     1376  1098  1555    4029             18        1721
 0   19  2510  2601  3348    8459   1444  1605  1910    4959     1066   996  1438    3500              0           0
 0   20  4322  2384  3094    9800   2429  1487  1777    5693     1893   897  1317    4107              0           0
 0   21  4159  2724  3395   10278   2226  1631  1983    5840     1933  1093  1412    4438             19        1750
 0   22  2802  2900  3495    9197   1506  1725  2057    5288     1296  1175  1438    3909             19        1710
 0   23  2385  2668  3270    8323   1376  1595  1914    4885     1009  1073  1356    3438              0           0
 0   24  4255  2454  3045    9754   2362  1474  1786    5622     1893   980  1259    4132              0           0
 0   25  4177  2655  3407   10239   2169  1627  1997    5793     2008  1028  1410    4446             17        1704
 0   26  2848  2802  3495    9145   1463  1719  2032    5214     1385  1083  1463    3931             19        1781
