Sp  Age     0     1     2  Tot sp      0     1     2  T.Sit 0       0     1     2  T.Sit 1  Disp.Med.  Cant.Disp.
 0   60  6491  3243  3566   13300   3666  2301  2504    8471     2825   942  1062    4829              0           0
 0   61  5277  3796  4175   13248   2881  2627  2941    8449     2396  1169  1234    4799             20        2547
 0   62  3855  3730  4155   11740   2189  2588  2930    7707     1666  1142  1225    4033             19        2215
 0   63  3282  3455  3836   10573   1990  2405  2717    7112     1292  1050  1119    3461              0           0
 0   64  6401  3187  3573   13161   3697  2228  2533    8458     2704   959  1040    4703              0           0
 0   65  5150  3750  4190   13090   2832  2592  3003    8427     2318  1158  1187    4663             19        2574
 0   66  3719  3766  4171   11656   2156  2583  2986    7725     1563  1183  1185    3931             20        2160
 0   67  3207  3478  3840   10525   1982  2387  2761    7130     1225  1091  1079    3395              0           0
 0   68  6436  3205  3573   13214   3620  2197  2577    8394     2816  1008   996    4820              0           0
 0   69  5247  3719  4211   13177   2861  2586  3021    8468     2386  1133  1190    4709             19        2568
 0   70  3807  3770  4105   11682   2141  2586  2942    7669     1666  1184  1163    4013             19        2194
 0   71  3243  3450  3790   10483   1963  2390  2729    7082     1280  1060  1061    3401              0           0
 0   72  6432  3164  3529   13125   3595  2202  2544    8341     2837   962   985    4784              0           0
 0   73  5306  3679  4210   13195   2825  2497  3020    8342     2481  1182  1190    4853             21        2537
 0   74  3780  3695  4137   11612   2114  2531  2963    7608     1666  1164  1174    4004             20        2154
 0   75  3167  3411  3815   10393   1924  2340  2736    7000     1243  1071  1079    3393              0           0
 0   76  6459  3153  3550   13162   3654  2173  2553    8380     2805   980   997    4782              0           0
 0   77  5337  3667  4144   13148   2991  2517  2972    8480     2346  1150  1172    4668             20        2552
 0   78  3903  3722  4103   11728   2277  2565  2937    7779     1626  1157  1166    3949             20        2243
 0   79  3339  3435  3808   10582   2076  2361  2731    7168     1263  1074  1077    3414              0           0
 0   80  6417  3169  3583   13169   3687  2187  2570    8444     2730   982  1013    4725              0           0
 0   81  5165  3782  4190   13137   2842  2604  2981    8427     2323  1178  1209    4710             21        2601
 0   82  3785  3801  4122   11708   2112  2629  2930    7671     1673  1172  1192    4037             19        2180
 0   83  3253  3504  3791   10548   1960  2452  2689    7101     1293  1052  1102    3447              0           0
 0   84  6350  3236  3529   13115   3639  2274  2501    8414     2711   962  1028    4701              0           0
 0   85  5132  3799  4118   13049   2852  2627  2947    8426     2280  1172  1171    4623             21        2543
 0   86  3752  3805  4078   11635   2145  2604  2899    7648     1607  1201  1179    3987             19        2132
 0   87  3226  3497  3744   10467   1967  2405  2658    7030     1259  1092  1086    3437              0           0
 0   88  6370  3246  3499   13115   3623  2237  2494    8354     2747  1009  1005    4761              0           0
 0   89  5190  3765  4163   13118   2789  2605  2957    8351     2401  1160  1206    4767             20        2493
 0   90  3817  3717  4143   11677   2151  2551  2946    7648     1666  1166  1197    4029             20        2175
 0   91  3242  3448  3835   10525   1988  2389  2747    7124     1254  1059  1088    3401              0           0
 0   92  6437  3183  3579   13199   3597  2215  2570    8382     2840   968  1009    4817              0           0
 0   93  5280  3678  4212   13170   2845  2561  3001    8407     2435  1117  1211    4763             21        2570
 0   94  3848  3733  4186   11767   2127  2571  2982    7680     1721  1162  1204    4087             20        2192
 0   95  3273  3434  3868   10575   1936  2379  2749    7064     1337  1055  1119    3511              0           0
 0   96  6467  3165  3586   13218   3640  2199  2557    8396     2827   966  1029    4822              0           0
 0   97  5305  3720  4233   13258   2868  2533  3022    8423     2437  1187  1211    4835             19        2509
 0   98  3845  3811  4137   11793   2177  2586  2933    7696     1668  1225  1204    4097             21        2263
 0   99  3313  3498  3821   10632   2003  2373  2696    7072     1310  1125  1125    3560              0           0
 0  100  6512  3235  3570   13317   3669  2192  2537    8398     2843  1043  1033    4919              0           0
 0  101  5289  3792  4211   13292   2842  2592  2980    8414     2447  1200  1231    4878             20        2657
 0  102  3823  3777  4157   11757   2146  2564  2920    7630     1677  1213  1237    4127             21        2248
 0  103  3239  3476  3846   10561   1961  2360  2700    7021     1278  1116  1146    3540              0           0
 0  104  6508  3200  3604   13312   3655  2189  2535    8379     2853  1011  1069    4933              0           0
 0  105  5343  3795  4214   13352   2914  2602  2936    8452     2429  1193  1278    4900             18        2526
 0  106  3859  3809  4176   11844   2176  2617  2903    7696     1683  1192  1273    4148             19        2223
 0  107  3258  3503  3853   10614   1985  2425  2680    7090     1273  1078  1173    3524              0           0
 0  108  6454  3239  3564   13257   3651  2252  2481    8384     2803   987  1083    4873              0           0
 0  109  5331  3754  4222   13307   2905  2570  2957    8432     2426  1184  1265    4875             20        2544
 0  110  3848  3798  4187   11833   2154  2599  2918    7671     1694  1199  1269    4162             20        2173
 0  111  3293  3478  3891   10662   1982  2385  2713    7080     1311  1093  1178    3582              0           0
 0  112  6537  3167  3630   13334   3665  2192  2547    8404     2872   975  1083    4930              0           0
 0  113  5379  3732  4254   13365   2833  2565  2975    8373     2546  1167  1279    4992             20        2617
 0  114  3902  3759  4200   11861   2162  2567  2947    7676     1740  1192  1253    4185             19        2309
 0  115  3293  3488  3887   10668   1983  2400  2719    7102     1310  1088  1168    3566              0           0
 0  116  6422  3213  3630   13265   3641  2239  2543    8423     2781   974  1087    4842              0           0
 0  117  5237  3845  4235   13317   2777  2649  2968    8394     2460  1196  1267    4923             20        2650
 0  118  3791  3802  4211   11804   2111  2590  2952    7653     1680  1212  1259    4151             20        2197
